epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,86.828,0.89377,5.24403,0.61806,0.69676,1.20198,0.83564,1,0.9771,0.65934,0.63914,0.5,0.42765,0.10834,1.25896,5.90447,0.60482,0.68804,1.76229,0.0009308,0.0009308,0.0009308
29,89.7979,0.84154,5.12752,0.62479,0.6668,1.19473,0.91662,0.91616,0.98097,0.64846,0.69836,0.52778,0.45551,0.09682,1.21652,5.71833,0.60274,0.6734,1.64801,0.0008912,0.0008912,0.0008912
30,92.7321,0.79472,5.11786,0.61402,0.64349,1.15028,0.93455,0.88889,0.97334,0.66922,0.57011,0.44444,0.33662,0.09322,1.08971,5.68257,0.61213,0.63246,1.49062,0.0008516,0.0008516,0.0008516
31,95.6878,0.84377,4.80866,0.59801,0.61909,1.18918,0.89369,0.93421,0.959,0.66981,0.56433,0.52778,0.40692,0.09156,1.12187,5.81808,0.6224,0.67233,1.55753,0.000812,0.000812,0.000812
32,98.6781,0.80562,4.80307,0.60859,0.60034,1.13968,0.82857,0.93993,0.93504,0.68304,0.59787,0.41667,0.37175,0.12634,1.0674,5.94618,0.61527,0.70988,1.51275,0.0007724,0.0007724,0.0007724
33,102.301,0.79216,4.84994,0.59312,0.62266,1.1476,0.91416,0.88889,0.95403,0.66305,0.51028,0.5,0.38527,0.10972,0.99784,6.04808,0.60511,0.77294,1.47196,0.0007328,0.0007328,0.0007328
34,106.289,0.80365,4.91459,0.61229,0.5962,1.17109,0.91626,0.91667,0.97103,0.68603,0.54123,0.5,0.38852,0.123,1.03324,5.92745,0.61073,0.77369,1.52128,0.0006932,0.0006932,0.0006932
35,109.899,0.74632,4.97229,0.59651,0.5883,1.15449,0.90899,0.91667,0.97092,0.69326,0.59789,0.5,0.41453,0.13896,1.02746,5.731,0.6167,0.79065,1.51106,0.0006536,0.0006536,0.0006536
36,113.112,0.82492,4.97079,0.60486,0.65005,1.17912,0.91289,0.87355,0.97062,0.70491,0.59305,0.5,0.48235,0.16335,1.02132,5.52051,0.6282,0.75321,1.47904,0.000614,0.000614,0.000614
37,116.163,0.79107,4.8263,0.60092,0.63761,1.11581,0.85464,0.97222,0.96541,0.70592,0.61421,0.58333,0.52013,0.16403,1.06775,5.44589,0.63454,0.7395,1.50034,0.0005744,0.0005744,0.0005744
38,119.257,0.73521,4.35152,0.60841,0.55215,1.09659,0.87528,0.97475,0.97467,0.70979,0.6049,0.58333,0.52155,0.18214,1.06511,5.34385,0.63558,0.71848,1.50224,0.0005348,0.0005348,0.0005348
39,122.778,0.76708,4.43278,0.60875,0.58796,1.14518,0.92035,0.96312,0.98347,0.70201,0.58008,0.57575,0.46659,0.17995,1.01767,5.34756,0.63415,0.65607,1.4811,0.0004952,0.0004952,0.0004952
40,126.078,0.7559,4.68719,0.60518,0.58069,1.13276,0.94537,0.96148,0.99151,0.71954,0.5978,0.55556,0.47926,0.17848,1.02727,5.35797,0.62992,0.60406,1.47494,0.0004556,0.0004556,0.0004556
41,140.801,0.60707,4.10038,0.58199,0.53836,1.06548,0.97272,0.99077,0.99365,0.73637,0.61028,0.55556,0.4635,0.15685,1.1308,5.36752,0.62048,0.5521,1.59804,0.000416,0.000416,0.000416
42,144.721,0.61663,3.86934,0.5748,0.48646,1.07332,0.94769,0.94444,0.98166,0.71403,0.55086,0.52778,0.40435,0.11155,1.10475,5.40842,0.61094,0.61872,1.60247,0.0003764,0.0003764,0.0003764
43,147.734,0.56502,3.74952,0.58174,0.42962,1.05396,0.90892,0.94444,0.95907,0.71426,0.59069,0.44444,0.38622,0.12889,1.02667,5.42188,0.60732,0.63984,1.52285,0.0003368,0.0003368,0.0003368
44,150.927,0.54576,3.75948,0.57897,0.4093,1.02854,0.93853,0.91667,0.96637,0.72391,0.51077,0.41667,0.34023,0.12483,1.01848,5.39037,0.60774,0.59918,1.50005,0.0002972,0.0002972,0.0002972
45,154.529,0.57791,3.63974,0.55912,0.40602,1.04855,0.95674,0.88889,0.97318,0.74245,0.54629,0.44444,0.38002,0.14394,1.0147,5.36139,0.60702,0.60191,1.47416,0.0002576,0.0002576,0.0002576
46,157.981,0.55401,3.54121,0.5537,0.4085,1.01517,0.91023,0.91667,0.96586,0.72285,0.5899,0.51962,0.43931,0.17211,1.03559,5.3086,0.60102,0.606,1.48254,0.000218,0.000218,0.000218
47,161.366,0.54001,3.69117,0.5743,0.40671,1.04983,0.91634,0.94444,0.97358,0.70673,0.57508,0.58333,0.48899,0.18722,1.05133,5.2745,0.59567,0.60195,1.48527,0.0001784,0.0001784,0.0001784
48,164.902,0.5175,3.59907,0.56484,0.38687,0.99099,0.94322,0.92301,0.98046,0.71619,0.66049,0.61111,0.54053,0.19224,1.03793,5.22657,0.58921,0.56974,1.48804,0.0001388,0.0001388,0.0001388
49,168.307,0.54799,3.36879,0.55322,0.39523,1.01195,0.96831,0.94444,0.98067,0.73087,0.66006,0.61111,0.53787,0.19163,1.0009,5.18958,0.58735,0.56475,1.46237,9.92e-05,9.92e-05,9.92e-05
50,171.797,0.5215,3.42539,0.56298,0.37344,0.98527,0.96648,0.94444,0.98063,0.73015,0.69447,0.63889,0.5796,0.20043,0.97494,5.14392,0.58589,0.53389,1.42302,5.96e-05,5.96e-05,5.96e-05
